text_a,text_b,score,label_type
โปรเจกเตอร์ห้อง 1203 ทางเดิน Skywalk เปิดไม่ติด ภาพไม่ขึ้นจอ อาจารย์สอนไม่ได้,เครื่องฉายโปรเจกเตอร์ห้องเรียน 1203 สะพานสกายวอล์ค พัง จอภาพมืดสนิท,0.959,DUPLICATE
ก๊อกน้ำและท่อประปาที่ ตึก ICT ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.087,DIFFERENT
สัญญาณเน็ต UP-WiFi ตึก ICT หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง ตึก ICT,0.0214,DIFFERENT
แอร์ห้อง 3403 คณะวิทยาศาสตร์ มีน้ำรั่วหยดและไม่เย็นเลย ร้อนมาก,เครื่องปรับอากาศห้อง 3403 ตึกวิทย์ น้ำหยดลงพื้น แอร์ไม่ฉ่ำเลย นั่งเรียนไม่ได้,0.9406,DUPLICATE
สอบถามขั้นตอนการขอทุนการศึกษานิสิตขาดแคลนทุนทรัพย์,มีคนร้ายขโมยหมวกกันน็อคตรงลานจอดรถ ตึก EN,0.01,DIFFERENT
เครื่องปรับอากาศห้อง 1401 ป้ายหอพักใน เสีย ไม่เย็น,เครื่องปรับอากาศห้อง 3302 ป้ายหอพักใน เสีย ไม่เย็น,0.1339,DIFFERENT
สัญญาณอินเทอร์เน็ต UP-WiFi ตึก EN หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ อาคารคณะวิศวกรรมศาสตร์ ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.9893,DUPLICATE
ก๊อกน้ำและท่อประปาที่ ประตู 1 ม.พะเยา ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.047,DIFFERENT
ก๊อกน้ำและท่อประปาที่ ป้ายรถเมล์หน้า ม. ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0454,DIFFERENT
ไฟในห้องน้ำหญิง ป้ายหอพักใน ดับสนิท มืดมาก มองไม่เห็นทาง,หลอดไฟห้องน้ำหญิง ป้ายรอรถหอใน มพ. ขาด เสีย มืดตึ๊ดตื๋อ เข้าใช้งานไม่ได้,0.957,DUPLICATE
สัญญาณเน็ต UP-WiFi กองพัฒนานิสิต DSA หลุดบ่อย เล่นไม่ได้,สุนัขจรจัดดุมาก วิ่งไล่กวดนิสิตตรง กองพัฒนานิสิต DSA,0.0578,DIFFERENT
สายชำระและก๊อกน้ำห้องน้ำชั้น 7 ตึก EN แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 7 อาคารคณะวิศวกรรมศาสตร์,0.9257,DUPLICATE
สัญญาณอินเทอร์เน็ต UP-WiFi ป้ายรถเมล์หน้า ม. หลุดบ่อยมาก เชื่อมต่อไม่ได้เลย,เน็ตไวไฟ UP-WiFi ที่ ป้ายรถบัสหน้ามหาวิทยาลัยพะเยา ต่อไม่ติด หลุดทุก 5 นาที ทำงานไม่ได้,0.9453,DUPLICATE
ถังขยะหน้า ตึก ICT ขยะล้นถัง ส่งกลิ่นเหม็นเน่า ไม่มีเจ้าหน้าที่มาเก็บ,ขยะเน่าล้นถังขยะบริเวณ อาคารเทคโนโลยีสารสนเทศและการสื่อสาร เหม็นคลุ้งมาก เกลื่อนเต็มพื้น,0.9786,DUPLICATE
ก๊อกน้ำและท่อประปาที่ คณะเกษตรศาสตร์ ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0599,DIFFERENT
โปรเจกเตอร์ห้อง 1304 กองพัฒนานิสิต DSA เปิดไม่ติด ภาพไม่ขึ้นจอ อาจารย์สอนไม่ได้,เครื่องฉายโปรเจกเตอร์ห้องเรียน 1304 ตึกกิจกรรมนิสิต DSA พัง จอภาพมืดสนิท,0.9412,DUPLICATE
ก๊อกน้ำและท่อประปาที่ คณะแพทยศาสตร์ ไหลช้ามาก มีสีขุ่นเหลือง,ทางเดิน Skywalk ลื่นมากหลังฝนตก มีนิสิตลื่นล้มหลายคน,0.0745,DIFFERENT
รถเมล์มอสาย 4 (สีน้ำเงิน) รอนานมากเกิน 45 นาที รถไม่พอ นิสิตยืนล้นป้าย คณะนิติศาสตร์,รอรถบัส มพ. สาย 4 (สีน้ำเงิน) ที่ ตึกนิติศาสตร์ นานมาก คนเบียดกันแน่น รถขาดระยะ,0.9722,DUPLICATE
สายชำระและก๊อกน้ำห้องน้ำชั้น 4 คณะเภสัชศาสตร์ แตก น้ำไหลนองเต็มพื้น,สายฉีดก้นกับก๊อกน้ำชำรุด น้ำรั่วท่วมห้องน้ำชั้น 4 ตึกเภสัช,0.9503,DUPLICATE
รถเมล์มอสาย 1 (สีม่วง) รอนานมากเกิน 45 นาที รถไม่พอ นิสิตยืนล้นป้าย คณะพยาบาลศาสตร์,รอรถบัส มพ. สาย 1 (สีม่วง) ที่ ตึกพยาบาล นานมาก คนเบียดกันแน่น รถขาดระยะ,0.9472,DUPLICATE
